,journal,title,ISSN,DOI,authors,affilations,date,pages,abstract,raw_url,keywords
10,International Journal of Fluid Power,A MODIFIED TURBULENT ORIFICE EQUATION APPROACH FOR MODELLING VALVES OF UNKNOWN CONFIGURATION,2332-1180,,"['Jeff Dobchuk', 'Richard Burton', 'Peter Nikiforuk']","['Convergent Motion Control, Inc., Saskatoon, Saskatchewan', 'Department of Mechanical Engineering, University of Saskatchewan', 'Department of Mechanical Engineering, University of Saskatchewan']",2007-11-01,25-30,"Motion control of valve controlled hydraulically actuated systems may be improved by compensating directly for the nonlinear relationship between valve displacement, differential pressure across the valve and the flow rate. In this paper a method is described in which such a relationship can be obtained from a relatively small experimental data set for a valve with an orifice of unknown configuration through the application of a modified discharge coefficient in the turbulent orifice equation.",https://journals.riverpublishers.com/index.php/IJFP/article/view/535,"['orifice', 'modelling']"
11,International Journal of Fluid Power,Modelling of the influence of entrained and dissolved air on the performance of an oil-hydraulic capacity,2332-1180,10.1080/14399776.2015.1110094,"['Katharina Schmitz', 'Hubertus Murrenhoff']","['Institute for Fluid Power Drives and Controls, RWTH Aachen University, Steinbachstr. 53, 52074 Aachen, Germany', 'Institute for Fluid Power Drives and Controls, RWTH Aachen University, Steinbachstr. 53, 52074 Aachen, Germany']",2015-11-01,179-187,"Fluids used in fluid power systems to transmit power and energy seldom consist of pure oil due to a large number of impurity sources. Especially impurities in form of air bubbles highly change the system behaviour with respect to stiffness and efficiency. The aim of this paper is to provide a mathematical model to simulate the effect of air on the pressure build-up and release in an oil-hydraulic capacity. Therefore, first a model to calculate the mass transfer between dissolved and entrained air is presented. In the end, the new developed model is validated with measurements.",https://journals.riverpublishers.com/index.php/IJFP/article/view/188,"['entrained air', 'dissolved air', 'air mass transfer', 'lumped parameter simulation', 'bulk modulus']"
12,International Journal of Fluid Power,Thermal Coupling Simulation of Electro-Hydrostatic Actuator Subjected to Critical Temperature Conditions,2332-1180,10.13052/ijfp1439-9776.2336,"['Xu  Han', 'Tatiana  Minav', 'Mingkang  Wang', 'Yongling  Fu', 'Matti  Pietola']","['School of Mechanical Engineering and Automation, Beihang University, Beijing, China', 'Faculty of Engineering and Natural Sciences, Tampere University, Tampere, Finland', 'School of Mechanical Engineering and Automation, Beihang University, Beijing, China', 'School of Mechanical Engineering and Automation, Beihang University, Beijing, China', 'Department of Mechanical Engineering School of Engineering, Aalto University, Espoo, Finland']",2022-09-12,379–394,"Electro-hydrostatic actuators (EHAs) are emerging transmission techniques originated from aerospace industry and being introduced to various application fields, such as ships, robots, construction machines, and machine tools. Despite the advantages of high efficiency, easy maintenance, electrified power, etc., EHAs are usually self-contained integrated devices, resulting in low heat dissipation ability. Therefore, thermal coupling models are necessary for the evaluation of each design option during the EHA development. In this paper, a thermal coupling model was established for EHA thermal characteristic analysis during the detail design stage. The disciplines of electrics, mechanics, system level hydraulics, losses, and control are implemented by lumped parameter modeling while the disciplines of thermodynamics and fluid dynamics are simulated by computational fluid dynamics (CFD). Subsequently, a simulation analysis focusing on the critical temperature conditions was conducted, and the dynamic thermal and power responses were achieved. The simulation results are applicable to gain confidence for EHA detail design work as well as proved the functions of the proposed model as a practical development tool.",https://journals.riverpublishers.com/index.php/IJFP/article/view/18571,"['Electro-hydrostatic actuator', 'thermal coupling', 'modeling and simulation', 'computational fluid dynamics']"
13,International Journal of Fluid Power,MECHANICAL MODELLING OF A BENT AXIS PUMP,2332-1180,,"['Alessandro Roccatello', 'Nicola Nervegna']","['Politecnico di Torino - The Fluid Power Research Laboratory (FPRL) Corso Duca degli Abruzzi 24, 10129 Torino, Italy', 'Politecnico di Torino - The Fluid Power Research Laboratory (FPRL) Corso Duca degli Abruzzi 24, 10129 Torino, Italy']",2009-08-01,57-72,"In the technical literature numerous studies are found focused on the mathematical modelling of mechanical aspects of swash plate axial piston pumps. Instead, bent axis pumps are rarely considered despite their widespread use in mobile and fixed applications. This research paper presents the mechanical model of a bent axis pump that simulates the dynamic behaviour of the main measurable quantities (e.g. the shaft torque) and the mutual forces in interacting components. The model is parametric and thus apt in predicting the influence of geometric design variables on pumps mechanical characteristics. A number of simulation analyses grounded on the presented model and on an ADAMS multibody approach are considered and contrasted one another and with experimental torque data for validation purposes.",https://journals.riverpublishers.com/index.php/IJFP/article/view/500,"['bent axis pump', 'modeling', 'simulation']"
14,International Journal of Fluid Power,Adaptive Identification and Application of Flow Mapping and Inverse Flow Mapping for Electrohydraulic Valves,2332-1180,10.13052/ijfp1439-9776.2315,"['Jianbin Liu', 'André Sitte', 'Jürgen Weber']","['Institute of Mechatronic Engineering – Chair of Fluid-Mechatronic Systems, Technical University of Dresden, Germany', 'Institute of Mechatronic Engineering – Chair of Fluid-Mechatronic Systems, Technical University of Dresden, Germany', 'Institute of Mechatronic Engineering – Chair of Fluid-Mechatronic Systems, Technical University of Dresden, Germany']",2021-11-20,109–140,"Good estimation of flow mapping (FM) and inverse flow mapping (IFM) for electrohydraulic valves are important in automation of fluid power system. The purpose of this paper is to propose adaptive identification methods based on LSM, BPNN, RBFNN, GRNN, LSSVM and RLSM to estimate the uncertain structure and parameters in flow mapping and inverse flow mapping for electrohydraulic valves. In order to reduce the complexity and improve the identification performance, model structures derived from new algorithm are introduced. The above identification methods are applied to map the flow characteristic of an electrohydraulic valve. With the help of novel simulation architecture via OPC UA, the accuracy and efficiency of these algorithms could be verified. Some issues like invertibility of flow mapping are discussed. At last, places and suggestions to apply these methods are made.",https://journals.riverpublishers.com/index.php/IJFP/article/view/11401,"['identification, flow mapping, inverse flow mapping, electrohydraulic valve, LS, BP, RBF, GRNN, LSSVM, RLS']"
15,International Journal of Fluid Power,Physically motivated lumped-parameter model for proportional magnets,2332-1180,10.1080/14399776.2018.1486631,['Olivier Reinertz'],"['Institute for Fluid Power Drives and Systems (IFAS), RWH Aachen University, Aachen, Germany']",2018-11-01,140–151,"The paper presents a novel physically motivated lumped-parameter model for one-dimensional simulation of proportional magnets. The model is deduced by analysing the significant physical interactions, properties of state-of-the art actuators and limitations of contemporary lumped-parameter models. The resulting model equations are taking into account the main properties of commonly used proportional magnets in the relevant field of operation, as e.g. nonlinear force and flux linkage characteristics over stroke and current, and are respecting the dominant physical effects, leading to these nonlinearities and linking the two before mentioned characteristics. This enables not only the parameterisation by a small number of independent parameters, but also physically correct parameter studies. After the model’s ability to describe the static behaviour of proportional magnets is proven by using measurement data of two off-the-shelf actuators, the paper concludes with a dynamic model validation, highlighting the good accuracy of the modelled frequency response.",https://journals.riverpublishers.com/index.php/IJFP/article/view/426,"['Proportional magnet', 'dynamic modelling', 'parameter study', 'magnetic', 'flux linkage']"
16,International Journal of Fluid Power,FLOW CONTROL FOR COORDINATED MOTION AND HAPTIC FEEDBACK,2332-1180,,"['Matthew E. Kontz', 'Wayne J. Book']","['Caterpillar Inc. – Hydraulics Research, Peoria, IL, USA', 'Georgia Institute of Technology – G.W. Woodruff School of Mechanical Engineering, Atlanta, GA, USA']",2007-11-01,13-23,"The use of haptic interfaces to control mobile hydraulic machinery has several enhancing features over traditional human-machine interfaces comprised of joysticks/levers. This paper presents pressure and flow control schemes designed for coordinated haptic control. Typical of many small backhoes and excavators, the hydraulic system used on the test-bed is comprised of constant displacement pumps and proportional directional control valves. In this type of system, a main pressure regulator is needed to supply the other closed-centre valves with pressure and dumps the additional flow from the pump to tank. Using these valves for haptic applications requires accurate closed-loop control. The focus of this paper is on the flow control scheme. Performance of the proportional directional control valves are compared with and without pressure compensation. A velocity feedback loop is present in order to improve the accuracy of the control system. A small input dead-zone function is proposed in order to prevent a limit cycle around zero velocity caused by the valve dead-band. Coordinated motion with multiple cylinders is demonstrated.",https://journals.riverpublishers.com/index.php/IJFP/article/view/534,"['haptics', 'excavators', 'backhoes', 'coordinated motion', 'flow control', 'pressure compensation']"
17,International Journal of Fluid Power,Data-driven Adaptive Thresholding Model for Real-time Valve Delay Estimation in Digital Pump/Motors,2332-1180,10.13052/ijfp1439-9776.2031,"['Abdallah Chehade', 'Farid Breidi', 'Keith Scott Pate', 'John Lumkes']","['University of Michigan-Dearborn 4901 Evergreen Rd. Dearborn, MI 48128, USA', 'University of Southern Indiana 8600 University Blvd. Evansville, IN 47712, USA', 'Allison Transmission One Allison Way Indianapolis, IN 46222, USA', 'Purdue University 225 South University St. West Lafayette, IN 47907, USA']",2020-03-09,271–294,"Valve characteristics are an essential part of digital hydraulics. The on/off solenoid valves utilized on many of these systems can significantly affect the performance. Various factors can affect the speed of the valves causing them to experience various delays, which impact the overall performance of hydraulic systems. This work presents the development of an adaptive statistical based thresholding real-time valve delay model for digital Pump/Motors. The proposed method actively measures the valve delays in real-time and adapts the threshold of the system with the goal of improving the overall efficiency and performance of the system. This work builds on previous work by evaluating an alternative method used to detect valve delays in real-time. The method used here is a shift detection method for the pressure signals that utilizes domain knowledge and the system’s historical statistical behavior. This allows the model to be used over a large range of operating conditions, since the model can learn patterns and adapt to various operating conditions using domain knowledge and statistical behavior. A hydraulic circuit was built to measure the delay time experienced from the time the signal is sent to the valve to the time that the valve opens. Experiments were conducted on a three piston in-line digital pump/motor with 2 valves per cylinder, at low and high pressure ports, for a total of six valves. Two high frequency pressure transducers were used in this circuit to measure and analyze the differential pressure on the low and high pressure side of the on/off valves, as well as three in-cylinder pressure transducers. Data over 60 cycles was acquired to analyze the model against real time valve delays. The results show that the algorithm was successful in adapting the threshold for real time valve delays and accurately measuring the valve delays.&nbsp;",https://journals.riverpublishers.com/index.php/IJFP/article/view/301,"['Digital Pump Motor', 'Digital Hydraulics', 'Fluid Power', 'Valve Timing', 'Valve']"
18,International Journal of Fluid Power,A Novel Approach for Hydraulic Valve Experimental Assessment Under Cavitating Condition,2332-1180,10.13052/ijfp1439-9776.2323,"['Domenico Mario  Cavallo', 'Ornella  Chiavola', 'Edoardo  Frattini', 'Fulvio  Palmieri']","['Università degli Studi Roma TRE, Dipartimento di Ingegneria Industriale Elettronica e Meccanica, Via Vito Volterra 62, 00146 Roma, Italy', 'Università degli Studi Roma TRE, Dipartimento di Ingegneria Industriale Elettronica e Meccanica, Via Vito Volterra 62, 00146 Roma, Italy', 'Università degli Studi Roma TRE, Dipartimento di Ingegneria Industriale Elettronica e Meccanica, Via Vito Volterra 62, 00146 Roma, Italy', 'Università degli Studi Roma TRE, Dipartimento di Ingegneria Industriale Elettronica e Meccanica, Via Vito Volterra 62, 00146 Roma, Italy']",2022-01-22,183–204,"The article presents a novel approach for the experimental characterization of hydraulic valves. The proposed methodology allows to capture the key layout of the valve, to study its characteristic flow rate and to visualize the flow that passes through it. In the wake of the experimental technique found in the literature, the novel approach introduces the use of an original test valve, briefly called “prismatic”. It represents an effective alternative to the so-called “Half-Cut Model” (HCM) proposed by Oshima and Ichikawa. The new test valve simplifies the experimental set-up and allows to visualize the whole internal flow field, providing full insight in both the inception and the spatial development of the cavitation. Moving from the HCM, the key features of the prismatic valve are preliminarily investigated and assessed by modelling, trough 3-D CFD simulations within OpenFOAM environment. Once the layout of prismatic valve is defined, the experimental assessment phase is carried out, highlighting its capability in research and development activities.",https://journals.riverpublishers.com/index.php/IJFP/article/view/6491,"['Hydraulic poppet valve, cavitating flow, flow saturation, flow visualization, prismatic test valve, optical access.']"
19,International Journal of Fluid Power,Study on the Articulated Finger Based on Pneumatic Soft Joint,2332-1180,10.13052/ijfp1439-9776.2226,"['Kai Shi', 'Huayi Zheng', 'Jun Li', 'Gang Bao']","['Pneumatic Center, Harbin Institute of Technology, Harbin, China', 'Beijing Institute of Precision Electromechanical Control Equipment, Beijing, China', 'Pneumatic Center, Harbin Institute of Technology, Harbin, China', 'Pneumatic Center, Harbin Institute of Technology, Harbin, China']",2021-05-31,277–292,"This article described a novel pneumatic soft joint used to make articulated soft fingers. This soft joint was designed by improving the basic structure of the fast pneumatic network. The joint was made of high modulus E630 silicon, which can increase the reverse exhaust speed through its high structural elasticity. Aramid fabric was used to restrain the non-working direction of joints to reduce ineffective expansion, thereby reducing air consumption. The kinematics and statics model of the joint was established by the piecewise constant curvature (PCC) method, and the model was proved to be effective. The silicone staging pouring process was used in the manufacture of joints and fingers, which can achieve high-quality product rates. A soft finger actuator composed of three soft joints was designed and manufactured, whose length was 1.3 times the human finger. The finger can nimbly achieve the target motion, and the gripping force of the fingertip can reach 7.1N. The articulated soft finger actuator has applications in soft dextrous hands and soft gripper.",https://journals.riverpublishers.com/index.php/IJFP/article/view/6013,"['Soft joint', 'pneumatic', 'finger actuator', 'silicon']"
20,International Journal of Fluid Power,Energy saving potential of load sensing system with hydro-mechanical pressure compensation and independent metering,2332-1180,10.1080/14399776.2016.1185877,"['Kailei Liu', 'Yingjie Gao']","['Hebei Provincial Key Laboratory of Heavy Machinery Fluid Power Transmission and Control, Yanshan University, Qinhuangdao, PR China and Key Laboratory of Advanced Forging & Stamping Technology and Science, Ministry of Education of China, Yanshan University, Qinhuangdao, PR China', 'Hebei Provincial Key Laboratory of Heavy Machinery Fluid Power Transmission and Control, Yanshan University, Qinhuangdao, PR China and Key Laboratory of Advanced Forging & Stamping Technology and Science, Ministry of Education of China, Yanshan University, Qinhuangdao, PR China']",2018-03-01,,"This paper reports a systematic analysis of a load sensing system with hydro-mechanical pressure compensation and independent metering. In contrast to a conventional spool valve controlled load sensing system, the proposed load sensing system is characterised by both meter-in and meter-out pressure compensation. Quasi-static behaviour analysis is applied to three distinct load sensing systems: the meter-in pressure compensation system (MIPCS), meterout pressure compensation system (MOPCS), and pressure compensation load sensing system (PCLSS). The energy usage equation shows that minimising pump supply pressure is the only way to ensure high energy saving efficiency; proper opening modes between the meter-in and meter-out orifices of the MIPCS and MOPCS are also obtained by deducing and analysing appropriate equations. Systems parameters are then kept constant as the pump supply pressure of the three systems are compared by varying the external force. Comparison results show that the pump supply pressure of both the MIPCS and MOPCS are lower than that of PCLSS, and that the optimal metering pressure compensation method is dependent on the working mode. Taken together, the results show that a load sensing system with independent metering offers more significant energy savings than the traditional load sensing system.",https://journals.riverpublishers.com/index.php/IJFP/article/view/168,"['Independent metering system', 'pressure compensated method', 'energy saving', 'working modes']"
